Title,Year,Genres,Rating,NumVotes
The Ladykillers,1955,"Comedy,Crime",7.7,26687
The Man with the Golden Arm,1955,"Crime,Drama,Romance",7.4,10088
Marty,1955,"Drama,Romance",7.7,21746
Mister Roberts,1955,"Comedy,Drama,War",7.7,15390
The Night of the Hunter,1955,"Crime,Drama,Film-Noir",8.0,82451
Oklahoma!,1955,"Comedy,Drama,Musical",7.0,11391
Ordet,1955,Drama,8.3,14152
Pather Panchali,1955,Drama,8.6,23806
Rebel Without a Cause,1955,Drama,7.7,83868
The Seven Year Itch,1955,"Comedy,Romance",7.1,34322
Smiles of a Summer Night,1955,"Comedy,Romance",7.8,12457
To Catch a Thief,1955,"Mystery,Romance,Thriller",7.4,65792
The Trouble with Harry,1955,"Comedy,Mystery",7.1,33984
Aparajito,1956,Drama,8.4,11795
Around the World in 80 Days,1956,"Adventure,Comedy,Family",6.8,24929
The Bad Seed,1956,"Comedy,Drama,Horror",7.5,13003
Bus Stop,1956,"Comedy,Drama,Romance",6.4,10776
The Court Jester,1955,"Adventure,Comedy,Family",7.9,11780
Forbidden Planet,1956,"Action,Adventure,Sci-Fi",7.6,45425
Giant,1956,"Drama,Western",7.6,34294
High Society,1956,"Comedy,Musical,Romance",7.0,14272
Invasion of the Body Snatchers,1956,"Drama,Horror,Sci-Fi",7.7,45121
The Killing,1956,"Crime,Drama,Film-Noir",8.0,82187
The King and I,1956,"Biography,Drama,Musical",7.4,23854
Lust for Life,1956,"Biography,Drama",7.4,10700
The Man Who Knew Too Much,1956,"Drama,Thriller",7.4,58939
Moby Dick,1956,"Adventure,Drama",7.3,17107
The Searchers,1956,"Adventure,Drama,Western",7.9,80780
The Ten Commandments,1956,"Adventure,Drama",7.9,63837
A Man Escaped,1956,"Drama,Thriller,War",8.3,19432
Written on the Wind,1956,Drama,7.4,10391
12 Angry Men,1957,"Crime,Drama",9.0,695613
3:10 to Yuma,1957,"Drama,Thriller,Western",7.6,18312
An Affair to Remember,1957,"Drama,Musical,Romance",7.5,27873
